timestamp,energy_mwh,temp_c,cloud_cover,solar_radiation,wind_speed,hour,dow,is_weekend,energy_mwh_lag1,energy_mwh_lag24,energy_mwh_lag48,energy_mwh_lag168,energy_mwh_ma24,energy_mwh_ma168
2024-01-08 00:00:00,0.0,-1.73,0.661,0.0,3.94,0,0,0,0.106,0.001,0.653,0.319,5.493208333333333,5.901833333333333
2024-01-08 01:00:00,0.0,-0.56,0.206,0.0,1.23,1,0,0,0.0,0.064,0.0,0.491,5.490541666666666,5.898910714285715
2024-01-08 02:00:00,0.294,0.27,0.175,0.0,2.47,2,0,0,0.0,0.618,0.0,0.593,5.4770416666666675,5.8971309523809525
2024-01-08 03:00:00,0.714,-1.61,0.677,0.0,4.1,3,0,0,0.294,0.0,0.797,0.048,5.506791666666667,5.901095238095238
2024-01-08 04:00:00,1.41,0.88,0.359,0.0,3.49,4,0,0,0.714,0.0,0.0,0.0,5.565541666666667,5.909488095238095
2024-01-08 05:00:00,0.0,0.96,0.218,0.0,1.43,5,0,0,1.41,0.0,0.0,0.696,5.565541666666667,5.905345238095238
2024-01-08 06:00:00,0.0,3.81,0.262,0.0,2.54,6,0,0,0.0,0.136,0.0,0.0,5.559875000000001,5.905345238095238
2024-01-08 07:00:00,4.018,0.55,0.678,0.074,4.73,7,0,0,0.0,5.591,7.822,5.386,5.4943333333333335,5.897202380952381
2024-01-08 08:00:00,15.018,1.77,0.07,0.278,2.13,8,0,0,4.018,7.148,8.453,7.405,5.82225,5.942517857142858
2024-01-08 09:00:00,9.178,0.82,0.73,0.165,3.95,9,0,0,15.018,7.19,14.242,9.372,5.905083333333334,5.941363095238096
2024-01-08 10:00:00,9.665,3.27,0.704,0.206,5.64,10,0,0,9.178,15.391,15.624,17.461,5.6665,5.894958333333333
2024-01-08 11:00:00,18.548,5.71,0.346,0.373,2.18,11,0,0,9.665,21.799,23.228,14.632,5.531041666666667,5.918267857142857
2024-01-08 12:00:00,22.357,2.64,0.219,0.437,3.64,12,0,0,18.548,20.267,17.927,10.388,5.618125,5.989511904761905
2024-01-08 13:00:00,23.378,2.34,0.142,0.457,3.24,13,0,0,22.357,17.013,15.249,17.182,5.883333333333333,6.0263928571428576
2024-01-08 14:00:00,8.991,2.25,0.792,0.173,4.19,14,0,0,23.378,13.992,12.662,13.061,5.6749583333333335,6.002166666666667
2024-01-08 15:00:00,16.59,0.73,0.189,0.337,2.54,15,0,0,8.991,8.701,8.284,13.64,6.003666666666667,6.019726190476191
2024-01-08 16:00:00,13.365,0.53,0.144,0.26,2.4,16,0,0,16.59,10.034,14.618,10.444,6.142458333333334,6.0371130952380945
2024-01-08 17:00:00,5.798,-0.21,0.441,0.105,3.47,17,0,0,13.365,3.562,5.231,6.033,6.235625,6.035714285714286
2024-01-08 18:00:00,0.0,-2.42,0.783,0.0,3.87,18,0,0,5.798,0.0,0.0,0.0,6.235625,6.035714285714286
2024-01-08 19:00:00,0.798,-2.14,0.715,0.0,3.8,19,0,0,0.0,0.154,0.0,0.628,6.262458333333334,6.03672619047619
2024-01-08 20:00:00,0.595,-1.61,0.209,0.0,2.34,20,0,0,0.798,0.071,0.497,0.034,6.284291666666667,6.040065476190476
2024-01-08 21:00:00,0.0,-1.69,0.314,0.0,2.68,21,0,0,0.595,0.0,0.0,0.0,6.284291666666667,6.040065476190476
2024-01-08 22:00:00,0.555,-1.35,0.09,0.0,2.02,22,0,0,0.0,0.0,0.187,0.413,6.307416666666666,6.040910714285714
2024-01-08 23:00:00,0.488,-2.4,0.161,0.0,0.69,23,0,0,0.555,0.106,0.073,0.23,6.323333333333334,6.042446428571428
2024-01-09 00:00:00,0.511,-2.05,0.487,0.0,3.54,0,1,0,0.488,0.0,0.001,0.0,6.344625000000001,6.0454880952380945
2024-01-09 01:00:00,0.946,-1.1,0.433,0.0,2.88,1,1,0,0.511,0.0,0.064,0.438,6.3840416666666675,6.048511904761905
