timestamp,open,high,low,close
2025-05-14 18:00:00,102964.0,103137.0,102964.0,103137.0
2025-05-14 18:30:00,103209.0,103289.0,103202.0,103289.0
2025-05-14 19:00:00,103284.0,103361.0,103284.0,103361.0
2025-05-14 19:30:00,103433.0,103586.0,103433.0,103586.0
2025-05-14 20:00:00,103579.0,103579.0,103478.0,103478.0
2025-05-14 20:30:00,103442.0,103463.0,103403.0,103410.0
2025-05-14 21:00:00,103416.0,103541.0,103416.0,103541.0
2025-05-14 21:30:00,103529.0,103548.0,103529.0,103548.0
2025-05-14 22:00:00,103544.0,103612.0,103543.0,103612.0
2025-05-14 22:30:00,103640.0,103640.0,103541.0,103541.0
2025-05-14 23:00:00,103531.0,103531.0,103487.0,103501.0
2025-05-14 23:30:00,103501.0,103502.0,103492.0,103502.0
2025-05-15 00:00:00,103533.0,103594.0,103533.0,103594.0
2025-05-15 00:30:00,103546.0,103708.0,103534.0,103708.0
2025-05-15 01:00:00,103737.0,103810.0,103737.0,103810.0
2025-05-15 01:30:00,103809.0,103809.0,103654.0,103654.0
2025-05-15 02:00:00,103604.0,103604.0,103248.0,103248.0
2025-05-15 02:30:00,103156.0,103169.0,103102.0,103150.0
2025-05-15 03:00:00,103102.0,103102.0,103039.0,103089.0
2025-05-15 03:30:00,103090.0,103090.0,102972.0,102980.0
2025-05-15 04:00:00,102961.0,102961.0,102864.0,102864.0
2025-05-15 04:30:00,102823.0,102846.0,102807.0,102846.0
2025-05-15 05:00:00,102872.0,102906.0,102872.0,102899.0
2025-05-15 05:30:00,102906.0,102906.0,102646.0,102646.0
2025-05-15 06:00:00,102634.0,102634.0,102460.0,102460.0
2025-05-15 06:30:00,102438.0,102555.0,102431.0,102555.0
2025-05-15 07:00:00,102598.0,102598.0,102321.0,102321.0
2025-05-15 07:30:00,102305.0,102307.0,102138.0,102138.0
2025-05-15 08:00:00,102055.0,102055.0,101846.0,101846.0
2025-05-15 08:30:00,101843.0,102029.0,101843.0,102029.0
2025-05-15 09:00:00,102031.0,102212.0,102031.0,102212.0
2025-05-15 09:30:00,102237.0,102237.0,102057.0,102057.0
2025-05-15 10:00:00,102031.0,102031.0,101782.0,101870.0
2025-05-15 10:30:00,101811.0,101828.0,101776.0,101828.0
2025-05-15 11:00:00,101850.0,101850.0,101769.0,101771.0
2025-05-15 11:30:00,101799.0,102162.0,101799.0,102162.0
2025-05-15 12:00:00,102211.0,102265.0,102211.0,102254.0
2025-05-15 12:30:00,102287.0,102436.0,102287.0,102436.0
2025-05-15 13:00:00,102482.0,102683.0,102482.0,102644.0
2025-05-15 13:30:00,102609.0,102687.0,102609.0,102676.0
2025-05-15 14:00:00,102660.0,102660.0,102186.0,102186.0
2025-05-15 14:30:00,102212.0,102271.0,102145.0,102244.0
2025-05-15 15:00:00,102234.0,102234.0,101820.0,101820.0
2025-05-15 15:30:00,101853.0,102193.0,101853.0,102193.0
2025-05-15 16:00:00,102295.0,103008.0,102295.0,103008.0
2025-05-15 16:30:00,103087.0,103194.0,103087.0,103194.0
2025-05-15 17:00:00,103191.0,103574.0,103155.0,103574.0
2025-05-15 17:30:00,103709.0,103914.0,103709.0,103914.0
