timestamp,last_updated,price_usd,price_24h_change,market_cap,market_cap_rank,total_volume,circulating_supply,developer_score,community_score,ath,atl,valid
2025-04-29T09:33:53.448590,2025-04-29T09:32:49.023Z,94921,0.14038,1.88E+12,1,29866972966,19857509,,,108786,67.81,TRUE
2025-04-29T09:34:11.209855,2025-04-29T09:32:49.023Z,94921,0.14038,1.88E+12,1,29866972966,19857509,,,108786,67.81,TRUE
2025-04-29T09:34:17.285702,2025-04-29T09:32:49.023Z,94921,0.14038,1.88E+12,1,29866972966,19857509,,,108786,67.81,TRUE
2025-04-29T09:34:23.325234,2025-04-29T09:32:49.023Z,94921,0.14038,1.88E+12,1,29866972966,19857509,,,108786,67.81,TRUE
2025-04-29T09:34:29.470833,2025-04-29T09:32:49.023Z,94921,0.14038,1.88E+12,1,29866972966,19857509,,,108786,67.81,TRUE
2025-04-29T09:35:36.148269,2025-04-29T09:34:56.625Z,94925,0.14452,1.88E+12,1,29736767611,19857509,,,108786,67.81,TRUE
2025-04-29T09:35:42.316789,2025-04-29T09:34:56.625Z,94925,0.14452,1.88E+12,1,29736767611,19857509,,,108786,67.81,TRUE
2025-04-29T09:35:48.377555,2025-04-29T09:34:56.625Z,94925,0.14452,1.88E+12,1,29736767611,19857509,,,108786,67.81,TRUE
2025-04-29T09:35:54.434829,2025-04-29T09:34:56.625Z,94925,0.14452,1.88E+12,1,29736767611,19857509,,,108786,67.81,TRUE
2025-04-29T09:36:00.499842,2025-04-29T09:34:56.625Z,94925,0.14452,1.88E+12,1,29736767611,19857509,,,108786,67.81,TRUE
2025-04-29T09:36:06.626357,2025-04-29T09:34:56.625Z,94925,0.14452,1.88E+12,1,29736767611,19857509,,,108786,67.81,TRUE
2025-04-29T09:37:13.424248,2025-04-29T09:35:50.285Z,94941,0.13767,1.88E+12,1,29730567542,19857509,,,108786,67.81,TRUE
2025-04-29T09:37:19.526695,2025-04-29T09:35:50.285Z,94941,0.13767,1.88E+12,1,29730567542,19857509,,,108786,67.81,TRUE
2025-04-29T09:37:25.625593,2025-04-29T09:35:50.285Z,94941,0.13767,1.88E+12,1,29730567542,19857509,,,108786,67.81,TRUE
2025-04-29T09:37:31.682016,2025-04-29T09:35:50.285Z,94941,0.13767,1.88E+12,1,29730567542,19857509,,,108786,67.81,TRUE
2025-04-29T09:37:37.757950,2025-04-29T09:35:50.285Z,94941,0.13767,1.88E+12,1,29730567542,19857509,,,108786,67.81,TRUE
2025-04-29T09:38:44.560404,2025-04-29T09:36:56.249Z,94950,0.14677,1.88E+12,1,29725052890,19857509,,,108786,67.81,TRUE
2025-04-29T09:38:50.720928,2025-04-29T09:38:02.471Z,94951,0.14818,1.89E+12,1,29725139947,19857509,,,108786,67.81,TRUE
2025-04-29T09:38:56.766502,2025-04-29T09:38:02.471Z,94951,0.14818,1.89E+12,1,29725139947,19857509,,,108786,67.81,TRUE
