iteration,val_rmse
1,22.018400000809766
2,21.06221473099355
3,20.151573067538624
4,19.288749414347308
5,18.469976933055587
6,17.688404901139627
7,16.948035810469406
8,16.243490231341628
9,15.576154856175515
10,14.942540150075038
11,14.343348093213471
12,13.777011620681284
13,13.235350839999933
14,12.724297736278862
15,12.239629265118708
16,11.779071844443598
17,11.343398771630111
18,10.940652611638523
19,10.549985831819404
20,10.189940025865196
21,9.838779926895423
22,9.50458231992829
23,9.192206640856954
24,8.893184825948827
25,8.608297883901951
26,8.34068719710655
27,8.087720623292148
28,7.848427251635304
29,7.6306336303134525
30,7.425768519980802
31,7.2329652909823405
32,7.041122570802222
33,6.858956371397036
34,6.687411014681365
35,6.5250977259311265
36,6.378570988970115
37,6.233011365261371
38,6.102699966580529
39,5.972342894097294
40,5.856270853943061
41,5.743795009561728
42,5.637541309539876
43,5.5326887085507055
44,5.438898150581451
45,5.3500338939552075
46,5.269427674926853
47,5.194013107631162
48,5.121093039139027
49,5.0562273563768585
50,4.98933065010666
51,4.927151353394555
52,4.868556854177381
53,4.816634950352397
54,4.758644002526786
55,4.70647611272109
56,4.66179514881662
57,4.614650795836288
58,4.574315248521318
59,4.531018491635332
60,4.494682215960413
61,4.461573184058516
62,4.423861763805043
63,4.3948487596258055
64,4.366547302685197
65,4.338044458773207
66,4.312488768743858
67,4.286521004815924
68,4.2627885886644865
69,4.241626230456937
70,4.222290961292533
71,4.204039639550232
72,4.1875802389477155
73,4.171341629821039
74,4.155844916596028
75,4.13916610797316
76,4.124771475627589
77,4.107361504632699
78,4.092861744067484
79,4.081068530277206
80,4.069480443989124
81,4.057701669503195
82,4.047645628328404
83,4.040205151213313
84,4.031114707336932
85,4.02222874849504
86,4.01373059594556
87,4.0057184223977025
88,3.999308745375251
89,3.9932337426235156
90,3.9858866048154016
91,3.980122584612582
92,3.972970189938315
93,3.964684936529615
94,3.9592698111110236
95,3.9519737771656245
96,3.9458039816751382
97,3.9412135065264593
98,3.93604217436684
99,3.9340853572968744
100,3.9278141466018717
101,3.921940813453719
102,3.9181805639428484
103,3.9158063178050493
104,3.912311758511373
105,3.9093852014116286
106,3.904777312173464
107,3.901594980508306
108,3.898464277044522
109,3.895282951049271
110,3.891003411778671
111,3.8875389667181643
112,3.886377094095864
113,3.8839328769269392
114,3.88070726130816
115,3.880461833849682
116,3.8780872151815626
117,3.8740742704072906
118,3.8728791100085402
119,3.871209886740904
120,3.8673771459276978
121,3.8655346233333496
122,3.8649931366313774
123,3.863190258441976
124,3.8626636458300134
125,3.8595228707020732
126,3.859273353721571
127,3.855654707198897
128,3.8521019615538368
129,3.8499124573057273
130,3.8496385881413904
131,3.8500459610790516
132,3.849026906025098
133,3.8477231897304085
134,3.8459902381730307
135,3.846230857828824
136,3.8452255716608534
137,3.8423325215209982
138,3.842858267215025
139,3.842487340699679
140,3.8424157367018434
141,3.8410856243007694
142,3.841646989536004
143,3.842461171908303
144,3.8420211166933655
145,3.8419856833417514
146,3.8414668285488185
147,3.8405196388963594
148,3.840211463811979
149,3.8383765878615974
150,3.8385512296292044
151,3.838536841051038
152,3.8384389981278773
153,3.838438471309576
154,3.8367742281170694
155,3.835591031248987
156,3.8344787846371737
157,3.8352413767678684
158,3.8350072993683275
159,3.8352972962790433
160,3.835482891059082
161,3.834688962602119
162,3.8351959749303877
163,3.8340383880931186
164,3.833283211762703
165,3.8343521124813504
166,3.834037471684467
167,3.8346182774659785
168,3.8351028064147843
169,3.8344999094684202
170,3.8349004989551214
171,3.8352716895350616
172,3.8343954117955854
173,3.8346892279630396
174,3.834698641530383
175,3.8355698319939493
176,3.8352301239569986
177,3.8346262233865644
178,3.83494264130034
179,3.834148963099465
180,3.832495527520575
181,3.8330288451765964
182,3.832383392123757
183,3.8318548602460445
184,3.831020350412487
185,3.832112397190083
186,3.8330088972703553
187,3.8331521181413732
188,3.8320757089276105
189,3.833537932564495
190,3.832953466637703
191,3.8324371492986073
192,3.832848558496513
193,3.834055278602773
194,3.8355689408424603
195,3.8356826853349744
196,3.8352027002513362
197,3.834254661857683
198,3.833778032839425
199,3.8332626793612476
200,3.834847647103681
201,3.835841639581675
202,3.8344339805572125
203,3.8352537507267574
204,3.835451848209805
205,3.8364965947738487
206,3.8376107008712053
207,3.8378050385818643
208,3.8375928413859444
209,3.8391007367845713
210,3.838355352583461
211,3.8392902272822336
212,3.8404053012786834
213,3.841760939091044
214,3.8416184960533486
215,3.8413482318021677
216,3.8421572139926976
217,3.8432281016306944
218,3.8443381452474026
219,3.844148947863331
220,3.8445421242065443
221,3.844617734851649
222,3.845195476480728
223,3.8444477015511005
224,3.8450435604170186
225,3.8435989088726354
226,3.844518511971391
227,3.8451114368244954
228,3.8449585395584647
229,3.8459903677460816
230,3.8471402088422515
231,3.846376794035837
232,3.845604259183194
233,3.8463737122025115
234,3.8464055686764596
235,3.845703450446763
236,3.8471114352041074
237,3.846828458426374
238,3.8458047954556163
239,3.845707401870243
240,3.846206339830387
241,3.847273870192733
242,3.847460565958964
243,3.847763443323655
244,3.8486258533705526
245,3.8494221816889014
246,3.8499538911075057
247,3.849438688000102
248,3.848992771611671
249,3.849874450246856
250,3.8499197036378296
251,3.84963163066578
252,3.849459022462678
253,3.8489013634888773
254,3.8493227755339556
255,3.8496886416849843
256,3.8508617939274314
257,3.851585603256348
258,3.8511585932851147
259,3.8517126489067572
260,3.852438429119283
261,3.8540282990686965
262,3.853671435539902
263,3.853385997098507
264,3.8545638404002944
265,3.854851951497335
266,3.8544662704012627
267,3.8552598815734207
268,3.856007004024013
269,3.85717715527918
270,3.8573825409457063
271,3.8568302296263584
272,3.857202225609268
273,3.8579179739784815
274,3.858506537118435
275,3.858321446224578
276,3.858158023197058
277,3.8583120256760246
278,3.857614598469396
279,3.857269071131287
280,3.8572934166754953
281,3.8561705142965277
282,3.857210495841548
283,3.8566366181322196
284,3.8556470742215767
285,3.856592270555371
286,3.856825791478606
287,3.8578023909223593
288,3.8573388695504778
289,3.8566965415983088
290,3.857461937102259
