step,type,amount,nameOrig,nameDest,isFraud
0,PAYMENT,180.90324884755822,C00131,C00128,0
0,TRANSFER,22900.90345006087,C00156,C00055,1
0,TRANSFER,85.33257598102985,C00184,C00057,0
0,TRANSFER,3298.568240114911,C00112,C00150,1
0,PAYMENT,3364.690820249609,C00054,C00142,0
0,PAYMENT,654.81564023274,C00117,C00075,0
0,CASH_OUT,4675.353904675495,C00170,C00108,1
0,TRANSFER,35.59507195146597,C00096,C00079,0
0,PAYMENT,45.88313948448595,C00099,C00008,0
0,PAYMENT,1411.7208631086462,C00067,C00146,0
0,PAYMENT,127.46714942623848,C00114,C00074,0
0,TRANSFER,374.97860870618416,C00033,C00169,0
0,TRANSFER,220.28764453300553,C00033,C00004,0
0,TRANSFER,59.673881147426066,C00157,C00144,0
0,PAYMENT,991.718293740014,C00153,C00085,0
0,PAYMENT,1173.9824364411268,C00167,C00022,0
0,PAYMENT,579.3878905901429,C00052,C00082,0
0,TRANSFER,26650.815558341197,C00155,C00098,1
0,PAYMENT,121.32012899740876,C00067,C00074,0
0,TRANSFER,117.90343912802965,C00056,C00112,0
0,CASH_OUT,3763.9433141415034,C00027,C00194,1
0,PAYMENT,159.64750686586964,C00200,C00027,0
0,CASH_OUT,8181.160841817221,C00155,C00027,1
0,PAYMENT,806.5347420944553,C00188,C00192,0
0,TRANSFER,726.4215461807586,C00074,C00095,0
0,TRANSFER,2572.6052622112197,C00055,C00156,1
0,TRANSFER,647.7056404804578,C00017,C00188,0
0,CASH_OUT,21809.166178460055,C00109,C00060,1
0,PAYMENT,480.2332511104948,C00163,C00012,0
0,TRANSFER,650.4535877871921,C00114,C00010,0
0,TRANSFER,3078.448217280538,C00009,C00021,1
0,TRANSFER,7140.683161592021,C00156,C00060,1
0,TRANSFER,274.50126389016634,C00165,C00133,0
0,PAYMENT,414.06120779679316,C00051,C00099,0
0,CASH_OUT,1463.9694772322641,C00165,C00126,0
0,PAYMENT,223.6043196540291,C00104,C00165,0
0,CASH_OUT,3051.530292761307,C00009,C00108,1
0,PAYMENT,1896.940547007913,C00013,C00104,0
0,CASH_OUT,4346.291355578855,C00065,C00101,0
0,TRANSFER,192.7749117597502,C00113,C00043,0
0,TRANSFER,1030.0168520474476,C00063,C00165,0
0,CASH_OUT,241.3408047634522,C00142,C00005,0
0,PAYMENT,954.8077559660278,C00103,C00058,0
0,PAYMENT,180.1083812496681,C00032,C00059,0
0,TRANSFER,7199.33081129258,C00170,C00053,1
0,TRANSFER,3864.9256163898326,C00039,C00160,0
0,CASH_OUT,3850.3863076520884,C00104,C00158,0
0,CASH_OUT,1353.7990675487758,C00194,C00155,1
0,PAYMENT,328.478559275196,C00187,C00055,0
0,TRANSFER,242.50764822139126,C00101,C00159,0
1,TRANSFER,199.57980895345116,C00099,C00110,0
1,PAYMENT,1759.6244786960385,C00030,C00072,0
1,PAYMENT,184.67412537743138,C00071,C00186,0
1,CASH_OUT,42.384198075883376,C00070,C00028,0
1,PAYMENT,431.83285735288734,C00178,C00188,0
1,TRANSFER,82.03249945650144,C00001,C00100,0
1,TRANSFER,18.893140776294118,C00109,C00069,0
1,PAYMENT,1040.6086795046738,C00020,C00071,0
1,TRANSFER,449.3088778293549,C00183,C00195,0
1,TRANSFER,6146.663607117547,C00027,C00155,1
1,TRANSFER,1263.0130980457432,C00115,C00140,0
1,TRANSFER,125.96640173325865,C00142,C00151,0
1,PAYMENT,229.11890774139397,C00161,C00169,0
1,CASH_OUT,11427.430667016124,C00170,C00021,1
1,CASH_OUT,1275.4881421200648,C00079,C00133,0
1,TRANSFER,4087.9667561575025,C00030,C00023,0
1,TRANSFER,1055.7574926326229,C00059,C00116,0
1,TRANSFER,34131.79741101675,C00026,C00047,1
1,TRANSFER,3721.3111459492443,C00036,C00155,1
1,PAYMENT,509.9911724765343,C00133,C00145,0
1,PAYMENT,7027.177486063002,C00065,C00008,0
1,CASH_OUT,7285.1754376114795,C00156,C00055,1
1,TRANSFER,992.5511851888425,C00172,C00166,0
1,CASH_OUT,190.35805102469251,C00111,C00099,0
1,TRANSFER,75.64926272964843,C00064,C00118,0
1,CASH_OUT,819.0790808884601,C00044,C00096,0
1,TRANSFER,123.83754418456846,C00091,C00001,0
1,TRANSFER,131.2047060589209,C00196,C00108,0
1,CASH_OUT,319.30192364969133,C00090,C00141,0
1,CASH_OUT,221.96323310262702,C00152,C00051,0
1,CASH_OUT,3805.262277277433,C00043,C00009,0
1,TRANSFER,315.717428329199,C00015,C00107,0
1,CASH_OUT,1065.4313511570642,C00040,C00185,0
1,TRANSFER,241.7319344955517,C00086,C00109,0
1,TRANSFER,120.02194994501176,C00067,C00110,0
1,CASH_OUT,52.76998640034568,C00067,C00096,0
1,PAYMENT,79.07347341229128,C00105,C00096,0
1,TRANSFER,3396.4432222459936,C00110,C00080,0
1,TRANSFER,821.8493284429517,C00100,C00105,0
1,TRANSFER,1185.7009390482724,C00066,C00034,0
1,TRANSFER,41459.352697970535,C00108,C00053,1
1,TRANSFER,33.088961429936106,C00151,C00163,0
1,CASH_OUT,128.96696665749246,C00072,C00053,0
1,PAYMENT,1496.9008357288672,C00012,C00020,0
1,PAYMENT,242.45181479856947,C00128,C00065,0
1,TRANSFER,1094.555947636521,C00046,C00139,0
1,TRANSFER,3530.9491335759476,C00108,C00053,1
1,TRANSFER,760.8408595301986,C00133,C00168,0
1,PAYMENT,152.94502960149597,C00019,C00108,0
1,PAYMENT,1052.089557568065,C00046,C00164,0
2,CASH_OUT,3338.956337206696,C00170,C00108,1
2,CASH_OUT,131.0673548948541,C00189,C00188,0
2,TRANSFER,8975.278965053501,C00036,C00098,1
2,TRANSFER,279.6977985343056,C00046,C00030,0
2,TRANSFER,77.91712789312352,C00032,C00060,0
2,PAYMENT,153.94172969559244,C00005,C00089,0
2,TRANSFER,18457.83024339226,C00194,C00155,1
2,PAYMENT,3785.2251226665317,C00089,C00031,0
2,TRANSFER,175.04153255320634,C00074,C00145,0
2,PAYMENT,145.58740641652287,C00086,C00063,0
2,TRANSFER,50.542658025690315,C00028,C00154,0
2,TRANSFER,409.14822701393564,C00159,C00069,0
2,TRANSFER,892.2787095544219,C00180,C00140,0
2,TRANSFER,269.8274737925024,C00107,C00009,0
2,TRANSFER,1469.2719640283142,C00115,C00180,0
2,PAYMENT,84.22125102435423,C00129,C00152,0
2,PAYMENT,1213.0407049090534,C00026,C00071,0
2,TRANSFER,205.98422295837725,C00001,C00148,0
2,TRANSFER,206.5580856618308,C00066,C00079,0
2,PAYMENT,336.8921887470818,C00049,C00089,0
2,TRANSFER,3396.5444811131933,C00194,C00134,0
2,TRANSFER,170.77345784557846,C00132,C00145,0
2,TRANSFER,101.69397174602064,C00029,C00011,0
2,TRANSFER,1098.6214590948025,C00151,C00052,0
2,TRANSFER,97.77205808338898,C00190,C00076,0
2,CASH_OUT,5155.904144944069,C00106,C00050,0
2,TRANSFER,1101.6374843512585,C00094,C00155,0
2,PAYMENT,741.7704090404627,C00008,C00162,0
2,TRANSFER,20850.036001911976,C00021,C00108,1
2,TRANSFER,16514.171999539754,C00133,C00112,1
2,PAYMENT,1438.3712781626284,C00175,C00166,0
2,TRANSFER,9927.349208798078,C00181,C00082,0
2,PAYMENT,23.218192132842013,C00089,C00007,0
2,PAYMENT,197049.7186983858,C00006,C00010,0
2,TRANSFER,198.4768274048532,C00014,C00195,0
2,TRANSFER,237.4775180776249,C00184,C00047,0
2,PAYMENT,156.46843811887786,C00054,C00153,0
2,PAYMENT,440.2984005585026,C00024,C00066,0
2,CASH_OUT,8116.213618212408,C00132,C00067,0
2,TRANSFER,216.11218627174367,C00034,C00106,0
2,TRANSFER,2417.0951596001214,C00162,C00099,0
2,PAYMENT,174.69911488486883,C00028,C00043,0
2,TRANSFER,27.55500153214557,C00115,C00004,0
2,PAYMENT,454.8229011752519,C00175,C00176,0
2,CASH_OUT,1218.9068874281536,C00049,C00031,0
2,PAYMENT,786.2988609683696,C00169,C00009,0
2,PAYMENT,150.12343009426706,C00041,C00116,0
2,CASH_OUT,402.6559079829986,C00141,C00156,0
2,PAYMENT,99.79972038624199,C00107,C00026,0
2,PAYMENT,70.60215686425578,C00188,C00137,0
3,TRANSFER,21452.366414127326,C00155,C00098,1
3,PAYMENT,270.62603709498484,C00034,C00145,0
3,TRANSFER,2260.043542657644,C00055,C00150,1
3,CASH_OUT,6066.776580800255,C00193,C00047,1
3,CASH_OUT,1901.8043489078593,C00093,C00179,0
3,TRANSFER,7999.742792627682,C00171,C00076,0
3,TRANSFER,935.4522822608841,C00191,C00045,0
3,PAYMENT,1525.4990081075996,C00118,C00200,0
3,CASH_OUT,281.5568241037838,C00183,C00084,0
3,CASH_OUT,6456.100568415696,C00094,C00023,0
3,PAYMENT,589.8079798227392,C00028,C00121,0
3,PAYMENT,2309.3061380410513,C00008,C00038,0
3,TRANSFER,10.024401079458531,C00135,C00131,0
3,TRANSFER,262.57915138418383,C00194,C00155,0
3,TRANSFER,354.57339690359385,C00007,C00010,0
3,CASH_OUT,630.0072194873848,C00159,C00195,0
3,CASH_OUT,606.4536939714744,C00167,C00184,0
3,TRANSFER,4916.448844331469,C00200,C00186,0
3,PAYMENT,138.17043086745275,C00175,C00179,0
3,TRANSFER,1224.3716068839462,C00172,C00198,0
3,TRANSFER,838.0392998540298,C00117,C00181,0
3,CASH_OUT,551.6278397934515,C00014,C00041,0
3,TRANSFER,2995.4740576090308,C00112,C00133,1
3,PAYMENT,91.14114284030742,C00170,C00067,0
3,TRANSFER,31.473680050682916,C00088,C00154,0
3,TRANSFER,16.025668509142804,C00182,C00006,0
3,PAYMENT,279.5586088624083,C00133,C00158,0
3,TRANSFER,9639.658873234046,C00170,C00009,1
3,TRANSFER,7083.142570987793,C00020,C00022,0
3,PAYMENT,5244.331745058559,C00169,C00099,0
3,TRANSFER,160.6196939129368,C00083,C00038,0
3,CASH_OUT,1045.428317006018,C00092,C00146,0
3,PAYMENT,725.3533421118354,C00006,C00002,0
3,TRANSFER,224.86271468450062,C00018,C00031,0
3,TRANSFER,340.15797003609435,C00031,C00123,0
3,CASH_OUT,129.18811359165343,C00026,C00168,0
3,CASH_OUT,184.22489286986487,C00013,C00095,0
3,PAYMENT,236.18297737834078,C00058,C00092,0
3,PAYMENT,2079.266664664449,C00169,C00128,0
3,TRANSFER,1442.8804324601228,C00140,C00043,0
3,TRANSFER,59.80173523852265,C00004,C00189,0
3,PAYMENT,167.16717354339568,C00041,C00105,0
3,PAYMENT,116.03351622345608,C00135,C00059,0
3,TRANSFER,19218.614454913364,C00027,C00098,1
3,TRANSFER,2335.372263245477,C00197,C00198,0
3,TRANSFER,12712.608067086665,C00155,C00027,1
3,CASH_OUT,2861.4873169795214,C00060,C00195,0
3,PAYMENT,162.10792205895746,C00086,C00006,0
3,TRANSFER,1326.7029813216252,C00185,C00107,0
3,PAYMENT,1087.8809810730263,C00098,C00028,0
4,CASH_OUT,767.7914016051446,C00167,C00045,0
4,CASH_OUT,26252.934141828173,C00173,C00002,1
4,PAYMENT,207.19866556009205,C00096,C00040,0
4,TRANSFER,7981.24404913733,C00026,C00084,1
4,PAYMENT,154.01160836392268,C00009,C00050,0
4,PAYMENT,59.76983063031377,C00045,C00048,0
4,TRANSFER,413.2600862125321,C00165,C00111,0
4,CASH_OUT,524.9557354435904,C00088,C00148,0
4,PAYMENT,925.3615860511469,C00072,C00121,0
4,PAYMENT,3114.1695011470224,C00182,C00154,0
4,PAYMENT,1169.2568949297004,C00118,C00199,0
4,TRANSFER,6798.444780277216,C00109,C00055,1
4,PAYMENT,217.1804116133785,C00086,C00177,0
4,CASH_OUT,1098.2759885556902,C00133,C00002,1
4,TRANSFER,218.0718801864008,C00077,C00072,0
4,PAYMENT,85.76804298736302,C00193,C00029,0
4,CASH_OUT,9175.033378218777,C00002,C00112,1
4,PAYMENT,69.78334649250421,C00035,C00026,0
4,TRANSFER,12135.899688425636,C00047,C00052,1
4,PAYMENT,291.38721801336897,C00176,C00014,0
4,PAYMENT,217.79993141793514,C00108,C00053,0
4,TRANSFER,19157.99377978508,C00173,C00150,1
4,CASH_OUT,32.9559486760906,C00129,C00137,0
4,TRANSFER,5440.306310796966,C00102,C00003,0
4,TRANSFER,534.4056479220714,C00150,C00126,0
4,PAYMENT,1026.0600384931247,C00175,C00088,0
4,TRANSFER,232.93244514732461,C00135,C00072,0
4,PAYMENT,50.54452915756208,C00078,C00135,0
4,TRANSFER,1143.3873167733577,C00194,C00036,1
4,PAYMENT,681.0964067429994,C00012,C00064,0
4,CASH_OUT,574.4032244769847,C00091,C00004,0
4,PAYMENT,14737.813558028512,C00079,C00199,0
4,TRANSFER,267.1979283643484,C00166,C00108,0
4,TRANSFER,388.850605542555,C00086,C00173,0
4,PAYMENT,96.85493372853878,C00176,C00105,0
4,TRANSFER,483.052386132037,C00107,C00179,0
4,TRANSFER,227.80052186189897,C00095,C00068,0
4,PAYMENT,164.9659295866868,C00087,C00156,0
4,TRANSFER,262.25987950897746,C00046,C00145,0
4,TRANSFER,1534.2701367204975,C00150,C00109,1
4,TRANSFER,227.38502196181196,C00079,C00052,0
4,PAYMENT,426.6546981962112,C00107,C00198,0
4,TRANSFER,8942.735121844422,C00150,C00173,1
4,TRANSFER,18152.741102275097,C00133,C00112,1
4,TRANSFER,13698.198638696542,C00021,C00108,1
4,PAYMENT,5663.796131448405,C00196,C00179,0
4,PAYMENT,321.52005793796087,C00168,C00127,0
